,model,Ratio,Replace,dataset,Accuracy,F1 Prefix,F1 random,Recall Prefix,Recall random,Precision Prefix,Precision random,Train Loss 0,Train Loss 1,Train Loss 2,Train Loss 3,Train Loss 4,Train Loss 5,Train Loss 6,Train Loss 7,Train Loss 8,Train Loss 9,Train Loss 10,Train Loss 11,Train Loss 12,Train Loss 13,Train Loss 14,Val Loss 0,Val Loss 1,Val Loss 2,Val Loss 3,Val Loss 4,Val Loss 5,Val Loss 6,Val Loss 7,Val Loss 8,Val Loss 9,Val Loss 10,Val Loss 11,Val Loss 12,Val Loss 13,Val Loss 14,test Accuracy 0,test Accuracy 1,test Accuracy 2,test Accuracy 3,test Accuracy 4,test Accuracy 5,test Accuracy 6,test Accuracy 7,test Accuracy 8,test Accuracy 9,test Accuracy 10,test Accuracy 11,test Accuracy 12,test Accuracy 13,test Accuracy 14,train Accuracy 0,train Accuracy 1,train Accuracy 2,train Accuracy 3,train Accuracy 4,train Accuracy 5,train Accuracy 6,train Accuracy 7,train Accuracy 8,train Accuracy 9,train Accuracy 10,train Accuracy 11,train Accuracy 12,train Accuracy 13,train Accuracy 14
0,euclidean,0.25,0.1,10,0.9914000000000001,0.9940441513705894,0.982752371174192,0.9999774279103888,0.9661686846689507,0.9881831856927962,0.9999338952239298,0.5288180400337334,0.26790412857231716,0.13776958440551187,0.09602483627955528,0.0761586777670826,0.06456324644372967,0.05712204239681289,0.05211658254991435,0.04908201910517416,0.04659213425077631,0.0449915097181909,0.04375935952878699,0.04290344437276073,0.042427879088842775,0.04172192112746841,0.39739964113632836,0.16974353956120705,0.1052485623999188,0.0780414356300607,0.06331413578893984,0.0549800071449329,0.048753495804810226,0.04309769915829318,0.039049774217574496,0.03945483245855814,0.03894272572205707,0.036135178200396044,0.03592306301866963,0.033256856143629755,0.033353741328134935,0.8050185185185186,0.9596261574074074,0.9753368055555555,0.9811122685185185,0.9853483796296296,0.9887256944444445,0.9893530092592593,0.9898981481481481,0.9908425925925926,0.990087962962963,0.9891331018518519,0.9906180555555556,0.9906666666666666,0.9911215277777778,0.9910277777777777,0.8010291666666667,0.9590666666666666,0.974875,0.9806958333333333,0.9849208333333334,0.9887208333333334,0.9895958333333332,0.9897875,0.9908416666666666,0.9901875,0.9892583333333334,0.9906583333333334,0.9908041666666667,0.9913208333333333,0.9911458333333333
1,euclidean,0.25,0.3,10,0.9905666666666666,0.9934955195188974,0.9816507487704975,1.0,0.9640297951888367,0.9870846640892027,1.0,0.5102730512745954,0.23638944611174084,0.12681402297897468,0.08931000051535316,0.07117026875616496,0.06041277952418073,0.053252400083460855,0.0487810621508828,0.04542078406117093,0.0435625806905898,0.041728161694048596,0.04079919141369621,0.03961825548659755,0.03918062201754133,0.03857426864688693,0.357951548020045,0.16444781551820534,0.10465076975151892,0.08033637780665105,0.06709783336504668,0.058453196032127945,0.05186683426308441,0.0501073401770554,0.04831269310500157,0.046053895078793435,0.045867102568154176,0.042731309616006866,0.04293360566433204,0.04196322795387819,0.04308922594471364,0.8395069444444444,0.961775462962963,0.9792314814814814,0.9849363425925926,0.9871712962962963,0.989207175925926,0.9907824074074073,0.9910231481481482,0.9904756944444445,0.9914201388888889,0.99153125,0.9922025462962962,0.9916342592592592,0.9922905092592592,0.9913703703703703,0.8354666666666667,0.9613833333333334,0.9788791666666667,0.9842666666666666,0.9863916666666667,0.9880416666666666,0.9898333333333333,0.9899749999999999,0.9896625,0.990425,0.9904833333333334,0.9913124999999999,0.9907458333333333,0.9913208333333333,0.9903958333333333
2,euclidean,0.25,0.5,10,0.7833666666666667,0.8665197878322239,0.41719423121078775,0.8055901185160455,0.6454079813240106,0.9385552218885552,0.319740777666999,0.5705571854655389,0.5503415223172418,0.5253695561157332,0.5002212960653835,0.48458889839384284,0.4761823331123149,0.47066267115429594,0.4673079041518547,0.46395546128518045,0.45960944360770556,0.4556174975468052,0.45144350233287717,0.4470326969148936,0.441948743680561,0.4364538916559131,0.5467443228761355,0.5276587165395419,0.5004867992003759,0.4800422550688187,0.46898575841883816,0.462836345265309,0.4565871733278036,0.4534916089723507,0.45220192946493626,0.44791961915294326,0.44301915281514326,0.4401432371288538,0.4390585173467795,0.4313709240108728,0.425544053102533,0.7517881944444444,0.7519340277777778,0.7562662037037037,0.7654328703703703,0.7708483796296297,0.7746041666666666,0.777943287037037,0.7791122685185186,0.7788888888888889,0.7806527777777778,0.7816122685185185,0.7818043981481482,0.7802511574074075,0.7836469907407407,0.7851516203703705,0.74925,0.7493083333333334,0.7530666666666667,0.763125,0.7693166666666666,0.7736791666666666,0.7775875,0.7783666666666667,0.7780958333333333,0.7798083333333333,0.7802375,0.7802375,0.7799375000000001,0.7821583333333333,0.7833875
3,euclidean,0.25,0.7,10,0.7805333333333333,0.8630809772331799,0.43947492763736346,0.8087345027556397,0.6240069647449391,0.9262486064659978,0.3488778877887789,0.5724865249649242,0.5513954093721177,0.5254455996553103,0.49948247031481174,0.48427554447121085,0.4763105690407532,0.4718663022959674,0.4682419367504341,0.4652520507458183,0.46250316686321186,0.4585320599631027,0.45348610078571017,0.44805007753162474,0.44181819768581126,0.4357003276883452,0.5647690800627072,0.5430385621289412,0.5120406663517157,0.49122598829865455,0.4806009406298399,0.474408392354846,0.4715012497206529,0.4670331749717394,0.46611291778087616,0.4635416945715745,0.4587680850774049,0.45473221633334954,0.44635107943912344,0.44085215550661083,0.43580480237305164,0.7504317129629628,0.7506053240740741,0.7543796296296297,0.7640717592592593,0.7699305555555556,0.7731828703703704,0.7737696759259259,0.7755902777777778,0.7764722222222222,0.7764386574074074,0.7779641203703703,0.7777291666666667,0.780568287037037,0.7816724537037038,0.7828946759259259,0.7475166666666666,0.7476791666666667,0.7514625,0.76305,0.7688208333333333,0.7723,0.7728916666666666,0.774925,0.7748416666666667,0.7750625,0.7762791666666666,0.7759208333333334,0.7790583333333333,0.7795500000000001,0.7804625000000001
4,euclidean,0.5,0.1,10,0.9938333333333333,0.9940698447933072,0.993807571055467,1.0,0.987706942743219,0.9882248137350178,1.0,0.6125744163123545,0.2490251087652588,0.13566444673161537,0.10282232733236414,0.08575773861281637,0.07496196647088418,0.06779954629932973,0.06253484412822523,0.05650630206733731,0.04859411641531964,0.042120730505967284,0.03808515892396849,0.03606467908804508,0.0347476217438061,0.0338234721212863,0.40460192951560014,0.1695982364614804,0.11812649582202232,0.09597375437306857,0.08328359274286772,0.0749806592026725,0.06906237601970007,0.06445964190852824,0.057229781380776897,0.050981490810712134,0.044717337549275975,0.04378690920952548,0.04239739330473817,0.040606071024900256,0.040765755939607774,0.8571041666666667,0.9474884259259259,0.9609849537037037,0.9669074074074074,0.9728020833333333,0.9766736111111112,0.9804953703703704,0.9813090277777777,0.986287037037037,0.9903483796296296,0.9926863425925926,0.9928692129629629,0.9929710648148149,0.9939467592592592,0.9937233796296296,0.8537374999999999,0.9473625,0.9600708333333333,0.9664708333333334,0.9724916666666666,0.976725,0.9804208333333333,0.9812708333333333,0.9860749999999999,0.99025,0.992825,0.9931375,0.9929541666666667,0.9940125,0.9939416666666666
5,euclidean,0.5,0.3,10,0.9945,0.994445855292393,0.9946180722875267,1.0,0.9892966329373004,0.9889562289562289,1.0,0.5976658589177661,0.2323662024788834,0.12461447753522678,0.08857311852710939,0.0703387474659485,0.05878043026166653,0.05119602297080883,0.045811623295113665,0.04197516137070052,0.03963780928997284,0.037761340469302976,0.03639673928134311,0.035376039670405146,0.03468298923608593,0.03400802329048957,0.3665835694372654,0.15485838689282533,0.09910364703771964,0.07285572176364556,0.06083143209169304,0.051386641514332296,0.04393754935947554,0.039906909199353885,0.03769034224298468,0.03613728139642622,0.03417802397542007,0.03299952955249072,0.033117373202694526,0.031917916894114225,0.031179604534758206,0.8860046296296297,0.9526226851851852,0.970912037037037,0.9772824074074075,0.982943287037037,0.9868368055555555,0.9904791666666667,0.9917407407407407,0.9930034722222222,0.9929340277777778,0.9934930555555556,0.9935358796296295,0.9940844907407408,0.9939317129629629,0.9939826388888889,0.8906208333333333,0.9580041666666667,0.9747916666666666,0.9802083333333333,0.9849958333333333,0.9883458333333334,0.9913583333333332,0.9925083333333333,0.9936291666666667,0.9935125,0.9940874999999999,0.9941375000000001,0.9945458333333334,0.9944624999999999,0.9945333333333334
6,euclidean,0.5,0.5,10,0.7887000000000001,0.7731123868254328,0.7995373508122157,0.8507580286430698,0.7560025369007547,0.7189117008846604,0.8583042103511399,0.6999778694819521,0.6687973456415864,0.6315123645056177,0.5999834345225935,0.5801253560185432,0.5707167892952759,0.5661790476021943,0.5609489505346175,0.5538215800446493,0.544722383796065,0.5342691781785753,0.5221857570862328,0.5089173312606634,0.4949541874207832,0.48022786860112787,0.6839984107414881,0.6478936237692833,0.6087177299261093,0.582262289027373,0.5666618591646354,0.5583935125768185,0.554251447747151,0.5476882752180099,0.5400751754939556,0.5311080612341563,0.5187774762709936,0.5054847440918286,0.4941496298313141,0.4840598893165588,0.4696662331819534,0.5510833333333333,0.6263472222222222,0.6663530092592592,0.6842488425925927,0.6915694444444445,0.6951412037037037,0.6980891203703704,0.7031840277777778,0.7110856481481481,0.7178252314814816,0.7321122685185185,0.7447361111111112,0.7604421296296296,0.7707453703703704,0.7851145833333334,0.5479166666666667,0.6279583333333334,0.6697666666666666,0.6880375,0.6952,0.6989208333333333,0.7005,0.707075,0.7132875,0.7206499999999999,0.7345416666666666,0.7469333333333333,0.7633333333333333,0.7733083333333333,0.7887125
7,euclidean,0.5,0.7,10,0.8237333333333333,0.8041000564639167,0.8388286758132166,0.9033959653679366,0.7758644756551956,0.7284857697829575,0.9164240480302657,0.6999836837671422,0.6681588152183426,0.6233888540389361,0.5905197713231599,0.5734428705495817,0.5644239556690057,0.556572178443273,0.5474336263427028,0.536571136665565,0.5237916790379419,0.5100594759771118,0.49424176911016304,0.477552635886051,0.46273095850646495,0.4485944418774711,0.685069986999035,0.6455432667235533,0.5985527711013954,0.5730074026783307,0.5607568510870139,0.5527363485495249,0.5438128486971061,0.5364224495192368,0.5235359664559364,0.5142959494888782,0.4975606394807498,0.48454398607710997,0.4654258208771546,0.45308095505833623,0.43548211406668025,0.5496539351851852,0.6304664351851852,0.6763391203703704,0.6905717592592592,0.6975370370370371,0.7025752314814814,0.7095439814814815,0.7164780092592592,0.7292395833333334,0.7378981481481481,0.7580462962962963,0.7699548611111111,0.7920949074074074,0.8047569444444445,0.8232766203703703,0.5442333333333332,0.6266833333333334,0.6734333333333333,0.6879583333333333,0.6936333333333333,0.6985541666666666,0.7058583333333334,0.7131791666666667,0.7262000000000001,0.7341291666666667,0.7559416666666666,0.7673291666666666,0.7897166666666667,0.804475,0.8237
8,euclidean,0.25,0.1,30,0.9991333333333333,0.9994268961245758,0.9983237698852633,1.0,0.9966562224406367,0.9988548125803028,1.0,0.4348859912681358,0.10870374991220452,0.04332636861264252,0.025250369865852534,0.017000630802028602,0.012646640489730488,0.009755843421312473,0.007924261739249627,0.006725451219173717,0.005571971352286774,0.00505103695372858,0.004520996275537357,0.003912311376357257,0.0034019959415793736,0.003206344065301183,0.20257875720411533,0.058803192641586025,0.03075755587685848,0.02058570008239859,0.014097486433126756,0.010978598448302313,0.008631742146753777,0.007287252062301017,0.008222737703246772,0.006262776349826354,0.0058328925523236964,0.004297415498613147,0.00476304143946067,0.004101198361346737,0.0032541670263477665,0.9581550925925926,0.9917812500000001,0.9949201388888889,0.9965613425925925,0.9971354166666667,0.9975196759259259,0.998380787037037,0.9984189814814814,0.9985856481481482,0.9989606481481481,0.9986157407407408,0.9992893518518519,0.9991238425925926,0.9991875,0.9994733796296296,0.9573750000000001,0.9918625,0.9950625,0.9965416666666667,0.9971833333333334,0.9974333333333334,0.998225,0.9983375,0.9984125,0.9987583333333333,0.9984375,0.999025,0.9988916666666667,0.9989833333333333,0.9991458333333334
9,euclidean,0.25,0.3,30,0.9531,0.9688506967409075,0.9050024583573133,0.9688819673002491,0.9089314862973018,0.9692226657795521,0.9044265593561368,0.5246119690708541,0.33856602241264444,0.25058935028328383,0.20929057341344928,0.18312018049239281,0.16486086317329424,0.15117998413110356,0.1411630403093683,0.13250252949711172,0.12547460644085093,0.11889015198475678,0.11418454438196148,0.10940985704219845,0.10597266368640376,0.1017783731011225,0.4186936750610669,0.28034583030889426,0.2307911049102743,0.19516675605562822,0.17532245232164856,0.16002720348040259,0.14951085457267857,0.13983614315589266,0.13296211136877534,0.1244146414295149,0.11840239059630159,0.1133534539462222,0.11201213709738413,0.10669136307147947,0.10696128527230268,0.8017986111111112,0.8896122685185185,0.9080231481481481,0.9213009259259259,0.9289490740740741,0.9350266203703704,0.939226851851852,0.9434560185185185,0.9460023148148148,0.9501284722222222,0.9524432870370371,0.9550462962962963,0.9557245370370371,0.9581145833333333,0.9577476851851852,0.7996958333333333,0.8865125,0.9034625,0.9176875,0.9243916666666666,0.9314,0.9341291666666667,0.9392958333333333,0.9416416666666667,0.9458249999999999,0.9481875,0.950775,0.9508,0.9532666666666666,0.9531208333333333
